Kategori,Metrik,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des
Imunisasi Dasar,Tahun 2024 Capaian,7,2,3,2,1,0,0,0,0,0,0,0
Imunisasi Dasar,Tahun 2024 Sasaran,7,2,3,2,1,0,0,0,0,0,0,0
ASI Eksklusif,ASI EKSKLUSIF,7,4,2,2,1,2,2,0,0,0,0,0
ASI Eksklusif,SASARAN,7,4,2,2,1,2,2,0,0,0,0,0
Pelayanan Kesehatan Balita,JUMLAH BALITA,49,50,53,52,52,50,48,48,48,48,49,50
Pelayanan Kesehatan Balita,D,S,S,K,D,N,T,B,1,2,1,0
Pelayanan Kesehatan Balita,PRESENTASE CAKUPAN YANG DI LAYANI (D/S),98,98,92,96,94,82,96,83,81,83,90,70
Pelayanan Kesehatan Lansia,SASARAN,74,74,74,74,74,74,29,31,74,74,39,32
Pelayanan Kesehatan Lansia,KEHADIRAN,72,68,69,68,67,68,65,68,67,68,68,66
Pelayanan Kesehatan Lansia,PELAYANAN,72,68,69,68,65,65,65,68,67,68,68,66
Pelayanan Kesehatan Lansia,PRESENTASE CAKUPAN YANG DI LAYANI,97,91,93,91,90,91,87,91,90,91,91,89
Pelayanan Kesehatan Ibu Hamil,SASARAN,3,2,2,2,1,3,3,3,2,2,2,1
Pelayanan Kesehatan Ibu Hamil,KEHADIRAN,3,2,2,2,1,3,3,3,2,2,2,1
Pelayanan Kesehatan Ibu Hamil,PRESENTASE CAKUPAN YANG DI LAYANI,100,100,100,100,100,100,100,100,100,100,100,100
Pelayanan Kesehatan Akseptor Aktif KB,PUS,28,25,21,22,37,0,0,0,0,0,0,0
Pelayanan Kesehatan Akseptor Aktif KB,WUS,54,57,59,58,56,51,0,0,0,0,0,0
Pelayanan Kesehatan Akseptor Aktif KB,JML,0,0,0,0,0,0,0,0,0,0,0,0
